,장소코드,장소명,시간대,혼잡수준,최소인원,최대인원
366,POI031,서울대입구역,2024-04-16 01:00,여유,16000,18000
367,POI031,서울대입구역,2024-04-16 02:00,여유,16000,18000
368,POI031,서울대입구역,2024-04-16 03:00,여유,16000,18000
369,POI031,서울대입구역,2024-04-16 04:00,여유,16000,18000
370,POI031,서울대입구역,2024-04-16 05:00,여유,16000,18000
371,POI031,서울대입구역,2024-04-16 06:00,여유,16000,18000
372,POI032,서울식물원·마곡나루역,2024-04-15 19:00,약간 붐빔,8000,8500
373,POI032,서울식물원·마곡나루역,2024-04-15 20:00,보통,7000,7500
374,POI032,서울식물원·마곡나루역,2024-04-15 21:00,여유,6000,6500
375,POI032,서울식물원·마곡나루역,2024-04-15 22:00,여유,5500,6000
376,POI032,서울식물원·마곡나루역,2024-04-15 23:00,여유,5000,5500
377,POI032,서울식물원·마곡나루역,2024-04-16 00:00,여유,4500,5000
378,POI032,서울식물원·마곡나루역,2024-04-16 01:00,여유,4000,4500
379,POI032,서울식물원·마곡나루역,2024-04-16 02:00,여유,4000,4500
380,POI032,서울식물원·마곡나루역,2024-04-16 03:00,여유,4000,4500
381,POI032,서울식물원·마곡나루역,2024-04-16 04:00,여유,4000,4500
382,POI032,서울식물원·마곡나루역,2024-04-16 05:00,여유,4000,4500
383,POI032,서울식물원·마곡나루역,2024-04-16 06:00,여유,4000,4500
384,POI033,서울역,2024-04-15 19:00,약간 붐빔,18000,20000
385,POI033,서울역,2024-04-15 20:00,여유,10000,12000
386,POI033,서울역,2024-04-15 21:00,여유,7000,7500
387,POI033,서울역,2024-04-15 22:00,여유,5000,5500
388,POI033,서울역,2024-04-15 23:00,여유,3000,3500
389,POI033,서울역,2024-04-16 00:00,여유,2000,2500
390,POI033,서울역,2024-04-16 01:00,여유,1500,2000
391,POI033,서울역,2024-04-16 02:00,여유,1000,1500
392,POI033,서울역,2024-04-16 03:00,여유,1000,1500
393,POI033,서울역,2024-04-16 04:00,여유,1000,1500
394,POI033,서울역,2024-04-16 05:00,여유,1000,1500
395,POI033,서울역,2024-04-16 06:00,여유,1000,1500
396,POI034,선릉역,2024-04-15 19:00,붐빔,52000,54000
397,POI034,선릉역,2024-04-15 20:00,약간 붐빔,42000,44000
398,POI034,선릉역,2024-04-15 21:00,보통,32000,34000
399,POI034,선릉역,2024-04-15 22:00,여유,26000,28000
400,POI034,선릉역,2024-04-15 23:00,여유,22000,24000
401,POI034,선릉역,2024-04-16 00:00,여유,18000,20000
